Date,Open,High,Low,Close,Volume
2023-08-08 00:00:00+05:30,3229.374335057088,3269.017269907084,3178.1910695792094,3256.41455078125,881723
2023-08-09 00:00:00+05:30,3259.3115633055063,3297.940441092831,3217.7855196841324,3295.622802734375,1096303
2023-08-10 00:00:00+05:30,3295.043232703047,3317.0617399118432,3264.236797374307,3297.650634765625,640761
2023-08-11 00:00:00+05:30,3302.768940258085,3302.768940258085,3260.711703820584,3273.024658203125,366412
2023-08-14 00:00:00+05:30,3292.357043914528,3292.357043914528,3208.730098691504,3259.843505859375,650028
2023-08-16 00:00:00+05:30,3267.8990072010847,3267.8990072010847,3208.4863542504727,3248.615478515625,502272
2023-08-17 00:00:00+05:30,3240.6091143811555,3244.514639074595,3214.0027274071012,3220.54443359375,484577
2023-08-18 00:00:00+05:30,3220.1049664714815,3289.4280266957007,3197.5504670206424,3270.486328125,680218
2023-08-21 00:00:00+05:30,3265.946023620106,3292.3571809463897,3237.1916469240077,3286.0595703125,407887
2023-08-22 00:00:00+05:30,3281.8122492026014,3289.4280697906015,3250.3728240821943,3264.4326171875,343014
2023-08-23 00:00:00+05:30,3264.4327277650855,3300.1683741484885,3251.642277386907,3278.68798828125,347738
2023-08-24 00:00:00+05:30,3285.5224714733945,3295.2862826813393,3241.5853210376436,3262.723876953125,840229
2023-08-25 00:00:00+05:30,3262.0892338887934,3282.7395986698007,3245.100298208978,3262.235595703125,463506
2023-08-28 00:00:00+05:30,3270.8279359322423,3285.4736529590955,3255.254704501882,3269.265869140625,329661
2023-08-29 00:00:00+05:30,3280.640662933803,3290.4044744306298,3269.363412980107,3276.1005859375,271577
2023-08-30 00:00:00+05:30,3288.451670658078,3331.412440702305,3277.223287578337,3325.31005859375,903102
2023-08-31 00:00:00+05:30,3329.459738456516,3329.459738456516,3243.538196818928,3257.79345703125,835737
2023-09-01 00:00:00+05:30,3270.8769103013647,3325.993579517999,3243.6359710846978,3320.08642578125,691510
2023-09-04 00:00:00+05:30,3348.9874201263474,3379.255236459851,3329.70389197839,3353.039306640625,661736
2023-09-05 00:00:00+05:30,3353.0393074391654,3362.6567573358575,3316.278651652509,3323.064453125,374902
2023-09-06 00:00:00+05:30,3334.341601416481,3336.3920971653156,3295.2863557190694,3311.201416015625,431090
2023-09-07 00:00:00+05:30,3309.9322366157485,3331.363756077675,3295.2865187546167,3322.088134765625,334700
2023-09-08 00:00:00+05:30,3322.625134150964,3325.896106432632,3286.5967641906177,3291.283203125,448502
2023-09-11 00:00:00+05:30,3297.2391181908824,3329.361962429103,3283.5697821960134,3324.089599609375,544361
2023-09-12 00:00:00+05:30,3329.4596997170784,3334.2927387030973,3242.268815917662,3262.33349609375,446513
2023-09-13 00:00:00+05:30,3270.8280240554077,3290.306780551062,3229.8688820083075,3241.87841796875,820181
2023-09-14 00:00:00+05:30,3256.2311658144777,3305.0502237727155,3246.565087688469,3301.53515625,436335
2023-09-15 00:00:00+05:30,3300.21714225606,3366.4644600286065,3291.91790250992,3346.25341796875,1169429
2023-09-18 00:00:00+05:30,3350.989006944657,3371.297782742014,3331.4125170171014,3350.696044921875,596376
2023-09-20 00:00:00+05:30,3346.058286553074,3368.5150535769203,3297.043999245455,3359.9228515625,547812
2023-09-21 00:00:00+05:30,3348.792308917866,3358.8002162820685,3323.6016261214013,3354.699462890625,477582
2023-09-22 00:00:00+05:30,3344.10562697443,3350.7450668429947,3311.8850472108807,3328.9228515625,393516
2023-09-25 00:00:00+05:30,3337.124415451962,3348.8896176331978,3301.1935413863102,3306.6611328125,309695
2023-09-26 00:00:00+05:30,3324.6265716069906,3455.6080031615747,3324.5777048762593,3390.1416015625,2178639
2023-09-27 00:00:00+05:30,3407.570201217988,3414.307135778984,3345.8629604352623,3397.513427734375,552573
2023-09-28 00:00:00+05:30,3397.806266350556,3417.3338885709613,3344.105305244441,3358.9951171875,608162
2023-09-29 00:00:00+05:30,3363.584102987804,3398.294499595466,3345.374690388247,3365.536865234375,515006
2023-10-03 00:00:00+05:30,3345.9604283033063,3353.8203441433907,3224.889167124697,3272.24365234375,1354075
2023-10-04 00:00:00+05:30,3270.8767591241003,3328.434378598604,3245.246754668277,3320.574462890625,566983
2023-10-05 00:00:00+05:30,3325.066138775324,3372.3228929680226,3307.0519535151097,3362.266357421875,394665
2023-10-06 00:00:00+05:30,3362.266316274354,3382.6237207890517,3357.1403150953975,3368.905517578125,249258
2023-10-09 00:00:00+05:30,3339.4187698444816,3393.900885824582,3320.672299392809,3364.218994140625,471285
2023-10-10 00:00:00+05:30,3368.9543382766146,3391.9481623543097,3367.5874999972943,3377.058349609375,206646
2023-10-11 00:00:00+05:30,3399.7592836245126,3411.573591303892,3379.645735878847,3404.250732421875,343468
2023-10-12 00:00:00+05:30,3407.5703892115303,3451.458676492271,3394.340376271963,3411.671142578125,644992
2023-10-13 00:00:00+05:30,3398.7829527701224,3417.334195545943,3359.727704821026,3394.29150390625,280442
2023-10-16 00:00:00+05:30,3380.3293934072854,3420.263288494161,3380.3293934072854,3404.250732421875,147663
2023-10-17 00:00:00+05:30,3422.21594894432,3439.5955811815807,3404.641088150883,3418.1640625,260333
2023-10-18 00:00:00+05:30,3418.1639333588114,3463.0774648007236,3399.856787390641,3413.526123046875,368551
2023-10-19 00:00:00+05:30,3397.8063826471325,3450.5309644468293,3378.6205885086306,3418.505615234375,353664
2023-10-20 00:00:00+05:30,3417.3340339573533,3417.480395780515,3383.7466176590374,3398.68505859375,216268
2023-10-23 00:00:00+05:30,3385.2110801367553,3410.401522360367,3344.9353588935073,3364.951171875,211293
